AddressInfo.Title,AddressInfo.Latitude,AddressInfo.Longitude,State,City,Max_Power_KW
Hotel Aadrika,13.31755,75.77101,Karnataka,Chikkamagaluru,60.0
Bishop Jerome Nagar (EVOK) EVCS - ChargeMOD,8.887577413782594,76.58843660568147,Kerala,Chinnakkada,60.0
Bharat Petroleum e-charge station,10.2998,77.9413,Tamil Nadu,Chinnalapatti,30.0
Adyar Ananda Bhavan,12.63869,78.06529,Tamil Nadu,Chinnar,120.0
Chirakkal Bank EVCS,11.91670441912386,75.35830443320492,Kerala,Chirakkal,30.0
Hotel Guruprasad Veg,14.17052,76.47221,Karnataka,Chitradurga,120.0
Tata.ev Gokulam Motors - Tata Power,10.081302790405845,76.33946199404113,Kerala,Choornikkara,60.0
Sulfex Mattress (EVOK) - ChargeMOD,10.081559652703303,76.33986741548819,Kerala,Choornikkara,30.0
Brunton Boatyard,9.968304525407731,76.24570948393551,Kerala,Cochin,24.0
ev,11.046407561050373,77.07956128281876,Tamil Nadu,Coimbatore,30.0
Sundaram Motors Coimbatore,10.91863,76.98461,Tamil Nadu,Coimbatore,45.0
Hotel Sri Mu Saravana Bhavan,11.00142,77.06625,Tamil Nadu,Coimbatore,25.0
IOCL Singanallur,11.0028,77.03874,Tamil Nadu,Coimbatore,30.0
PPS MG Motors,11.05013,77.05773,Tamil Nadu,Coimbatore,25.0
Fairfield by Marriott Coimbatore,11.03623,77.03736,Tamil Nadu,Coimbatore,30.0
Zibe Coimbatore by GRT Hotels,11.02287,76.99726,Tamil Nadu,Coimbatore,7.4
3 Star Auto Care,11.01434,76.98979,Tamil Nadu,Coimbatore,30.0
Ibis Coimbatore City Centre,11.01223,76.98654,Tamil Nadu,Coimbatore,15.0
Zone by The Park Hotel,11.01157,76.98444,Tamil Nadu,Coimbatore,30.0
Taj Vivanta Coimbatore,11.0025,76.97363,Tamil Nadu,Coimbatore,30.0
"Welcomhotel By ITC Hotels, Race Course, Coimbatore",10.99713,76.97389,Tamil Nadu,Coimbatore,60.0
VEEV Brookfields,11.00939,76.95905,Tamil Nadu,Coimbatore,30.0
Corporation Parking Lot,11.01695,76.96566,Tamil Nadu,Coimbatore,50.0
PSV EV Point,11.08231,76.98681,Tamil Nadu,Coimbatore,30.0
Gateway Coonoor,11.34605,76.80108,Tamil Nadu,Coonoo,30.0
Avantika Resort EV Cosmos,22.81045961560405,74.30068522366184,Gujarat,Dahod,60.0
Village Vatika Restaurant And Hotel,21.885670593234643,77.88399107096022,Madhya Pradesh,Danora,60.0
Raastha Resto Bar,14.44452,75.89139,Karnataka,Davanagere,60.0
Kahaani - The Food Journey,14.44549,75.8911,Karnataka,Davanagere,60.0
Mahindra Mahanth Motors,14.47385,75.88627,Karnataka,Davanagere,60.0
Adishakti Cars,14.44223,75.95212,Karnataka,Davanagere,25.0
Azadpur Metro Station,28.706611759021957,77.18210759629983,Delhi,Delhi,60.0
JW Marriott Bengaluru Prestige Golfshire Resort & Spa,13.31205,77.69087,Karnataka,Devanahall,30.0
Shell Recharge Devanahalli,13.24117,77.70313,Karnataka,Devanahalli,120.0
Shell Recharge Gokare Road,13.23897,77.72394,Karnataka,Devanahalli,120.0
Mulberry Shades Bengaluru Nandi Hills,13.34843,77.68211,Karnataka,Devanahally,30.0
FC - TataPower - Hotel Sumandeep,23.765173283966945,86.80574019219654,Jharkhand,Dhanbad,30.0
Hotel Topline,20.836967977911712,74.75561014858295,Maharashtra,Dhule,60.0
Sri Sai Kanchetty Family Restaurant,18.63217083834048,78.20817022692324,Telangana,Dichpally,60.0
Hotel PVK Grand,10.3741,77.96772,Tamil Nadu,Dindigul,25.0
